Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Raja miraletus,5014,Raja,"Linnaeus, 1758",Brown ray,demersal,NA,17,462,50,150,63,35,NA,44,N,35,S,NA,NA,NA,NA,NA,NA
Raja montagui,4329,Raja,"Fowler, 1910",Spotted ray,demersal,NA,8,530,NA,NA,102,50,NA,61,N,16,N,18,W,25,E,NA,NA
Raja ocellifera,69056,Raja,"Regan, 1906",NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raja polystigma,9283,Raja,"Regan, 1923",Speckled ray,demersal,NA,100,400,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raja radula,8929,Raja,"Delaroche, 1809",Rough ray,demersal,NA,NA,300,NA,NA,70,NA,NA,46,N,30,N,8,W,36,E,NA,NA
Raja straeleni,5015,Raja,"Poll, 1951",Spotted skate,demersal,NA,80,800,100,300,70,NA,1385,15,N,30,S,NA,NA,NA,NA,NA,NA
Raja undulata,7617,Raja,"Lacepède, 1802",Undulate ray,demersal,NA,50,200,NA,NA,100,NA,NA,53,N,9,N,19,W,36,E,NA,NA
Rajella barnardi,54445,Rajella,"(Norman, 1935)",Bigthorn skate,bathydemersal,NA,102,1207,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajella bathyphila,8935,Rajella,"(Holt & Byrne, 1908)",Deep-water ray,bathydemersal,NA,600,2300,1300,1400,90,NA,NA,73,N,37,N,75,w,5,w,2.5,4
Rajella bigelowi,8936,Rajella,"(Stehmann, 1978)",Bigelow's ray,bathydemersal,NA,650,4156,1500,NA,55,NA,NA,60,N,10,N,NA,NA,NA,NA,NA,NA
Rajella caudaspinosa,10123,Rajella,"(von Bonde & Swart, 1923)",Munchskin skate,bathydemersal,NA,102,1098,NA,NA,65.0999984741211,NA,NA,27,S,40,S,NA,NA,NA,NA,NA,NA
Rajella dissimilis,8937,Rajella,"(Hulley, 1970)",Ghost skate,bathydemersal,NA,400,1640,NA,NA,82.30000305175781,NA,NA,15,N,34,S,NA,NA,NA,NA,NA,NA
Rajella fyllae,7615,Rajella,"(Lütken, 1887)",Round ray,bathydemersal,NA,147,2055,300,800,60,NA,NA,84,N,40,N,75,W,55,E,1,7
Rajella kukujevi,54102,Rajella,"(Dolganov, 1985)",Mid-Atlantic skate,bathydemersal,NA,750,2191,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajella leoparda,8938,Rajella,"(von Bonde & Swart, 1923)",Leopard skate,bathydemersal,NA,130,1920,NA,NA,95,NA,NA,NA,NA,36,S,NA,NA,NA,NA,NA,NA
Rajella lintea,6422,Rajella,"(Fries, 1838)",Sailray,bathydemersal,NA,150,2117,250,NA,125,NA,11150,78,N,42,N,70,w,30,e,3.6,6
Rajella nigerrima,52469,Rajella,"(de Buen, 1960)",Blackish skate,bathydemersal,NA,590,1000,NA,NA,45.70000076293945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randallichthys filamentosus,212,Randallichthys,"(Fourmanoir, 1970)",Randall's snapper,benthopelagic,Etelinae,150,300,NA,NA,50,40,NA,35,N,24,S,121,E,147,W,NA,NA
Raneya brasiliensis,51193,Raneya,"(Kaup, 1856)",Banded cusk eel,demersal,Ophidiinae,40,150,NA,NA,31,NA,36,22,S,48,S,-69,W,-36,W,NA,NA
Raniceps raninus,1349,Raniceps,"(Linnaeus, 1758)",Tadpole fish,demersal,NA,0,100,10,20,30,20,NA,68,N,44,N,11,W,13,E,NA,NA
Ranzania laevis,1750,Ranzania,"(Pennant, 1776)",Slender sunfish,pelagic-oceanic,NA,1,140,NA,NA,100,NA,NA,71,N,55,S,180,W,180,E,NA,NA
Rastrelliger brachysoma,109,Rastrelliger,"(Bleeker, 1851)",Short mackerel,pelagic-neritic,Scombrinae,15,200,NA,NA,34.5,20,NA,18,N,18,S,93,E,180,E,20,30
Rastrelliger faughni,110,Rastrelliger,"Matsui, 1967",Island mackerel,pelagic-neritic,Scombrinae,2,150,NA,NA,20,NA,750,26,N,14,S,78,E,157,E,NA,NA
Rastrelliger kanagurta,111,Rastrelliger,"(Cuvier, 1816)",Indian mackerel,pelagic-neritic,Scombrinae,20,90,NA,NA,36,25,NA,38,N,36,S,20,E,180,E,17,NA
Rastrinus scutiger,50792,Rastrinus,"(Bean, 1890)",NA,bathydemersal,NA,100,740,200,300,16,11.899999618530273,30,50,N,NA,NA,NA,NA,NA,NA,NA,NA
Ratabulus diversidens,11691,Ratabulus,"(McCulloch, 1914)",Freespine flathead,demersal,NA,30,345,NA,NA,39.099998474121094,NA,NA,17,s,39,s,NA,NA,NA,NA,NA,NA
Ratabulus fulviguttatus,65881,Ratabulus,"Imamura & Gomon, 2010",Orange-freckled flathead,benthopelagic,NA,126,248,NA,NA,26.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ratabulus megacephalus,12997,Ratabulus,"(Tanaka, 1917)",NA,demersal,NA,79,261,NA,NA,35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rathbunella hypoplecta,3694,Rathbunella,"(Gilbert, 1890)",Stripefin ronquil,demersal,NA,NA,55,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redigobius balteatus,11817,Redigobius,"(Herre, 1935)",Rhinohorn goby,benthopelagic,Gobionellinae,0,5,NA,NA,3.799999952316284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,28
Redigobius bikolanus,11818,Redigobius,"(Herre, 1927)",Speckled goby,benthopelagic,Gobionellinae,0,5,NA,NA,4.900000095367432,NA,NA,35,N,6,N,NA,NA,NA,NA,21,28
Rhina ancylostomus,8729,Rhina,"Bloch & Schneider, 1801",Bowmouth guitarfish,reef-associated,NA,3,90,NA,NA,300,NA,135000,42,N,34,S,30,e,170,e,NA,NA
Rhincodon typus,2081,Rhincodon,"Smith, 1828",Whale shark,pelagic-oceanic,NA,0,1928,0,100,1700,1000,34000000,45,N,48,S,180,W,180,E,18,30
Rhinecanthus abyssus,15214,Rhinecanthus,"Matsuura & Shiobara, 1989",NA,demersal,NA,NA,150,NA,NA,16.600000381469727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizoprionodon lalandii,900,Rhizoprionodon,"(Valenciennes, 1839)",Brazilian sharpnose shark,demersal,NA,3,70,NA,NA,NA,55,NA,13,N,35,S,78,w,31,w,NA,NA
Rhizoprionodon longurio,901,Rhizoprionodon,"(Jordan & Gilbert, 1882)",Pacific sharpnose shark,benthopelagic,NA,NA,100,NA,NA,110,NA,NA,35,N,17,S,121,w,73,w,NA,NA
Rhizoprionodon oligolinx,902,Rhizoprionodon,"Springer, 1964",Grey sharpnose shark,reef-associated,NA,0,36,NA,NA,84.5,NA,2800,30,N,18,S,NA,NA,NA,NA,NA,NA
Rhizoprionodon porosus,903,Rhizoprionodon,"(Poey, 1861)",Caribbean sharpnose shark,reef-associated,NA,NA,500,NA,100,113,75,7500,28,N,40,S,88,W,32,W,NA,NA
Rhizoprionodon taylori,904,Rhizoprionodon,"(Ogilby, 1915)",Australian sharpnose shark,pelagic-oceanic,NA,NA,300,NA,NA,69.0999984741211,NA,NA,8,S,28,S,NA,NA,NA,NA,NA,NA
Rhizoprionodon terraenovae,905,Rhizoprionodon,"(Richardson, 1836)",Atlantic sharpnose shark,demersal,NA,0,280,0,10,110,70,7250,43,N,25,S,100,W,32,W,NA,NA
Robinsia catherinae,59470,Robinsia,"Böhlke & Smith, 1967",NA,demersal,NA,140,243,NA,NA,19.799999237060547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salarias fasciatus,6058,Salarias,"(Bloch, 1786)",Jewelled blenny,reef-associated,Salariinae,0,8,NA,NA,14,NA,NA,30,N,23,S,32,E,169,W,NA,NA
Salarias guttatus,11616,Salarias,"Valenciennes, 1836",Breast-spot blenny,reef-associated,Salariinae,0,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salarias luctuosus,6060,Salarias,"Whitley, 1929",NA,reef-associated,Salariinae,NA,NA,NA,NA,5,NA,NA,35,N,25,N,NA,NA,NA,NA,NA,NA
Salarias ramosus,59272,Salarias,"Bath, 1992",Starry blenny,benthopelagic,Salariinae,1,15,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samariscus triocellatus,8568,Samariscus,"Woods, 1960",Three-spot righteye flounder,reef-associated,NA,3,30,NA,NA,10,NA,NA,28,N,18,S,NA,NA,NA,NA,NA,NA
Redigobius leveri,66714,Redigobius,"(Fowler, 1943)",NA,demersal,Gobionellinae,0,1,NA,NA,4.449999809265137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redigobius macrostoma,56980,Redigobius,"(Günther, 1861)",Large-mouth goby,benthopelagic,Gobionellinae,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redigobius tambujon,25101,Redigobius,"(Bleeker, 1854)",NA,benthopelagic,Gobionellinae,0,5,NA,NA,4.5,NA,NA,17,N,20,S,NA,NA,NA,NA,NA,NA
Regalecus glesne,3267,Regalecus,"Ascanius, 1772",King of herrings,pelagic-oceanic,NA,20,1000,20,200,800,300,272000,72,N,52,S,180,W,180,E,NA,NA
Regalecus russellii,25038,Regalecus,"(Cuvier, 1816)",Oarfifsh,bathypelagic,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reicheltia halsteadi,52451,Reicheltia,"(Whitley, 1957)",Halstead's toadfish,demersal,Tetraodontinae,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reinhardtius hippoglossoides,516,Reinhardtius,"(Walbaum, 1792)",Greenland halibut,benthopelagic,Hippoglossinae,1,2200,500,1000,110,56,7000,79,N,33,N,180,W,180,E,-1,4
Reinhardtius hippoglossoides,516,Reinhardtius,"(Walbaum, 1792)",Greenland halibut,benthopelagic,Hippoglossinae,1,2200,500,1000,110,56,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remora albescens,3548,Remora,"(Temminck & Schlegel, 1850)",White suckerfish,pelagic-oceanic,NA,NA,200,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remora australis,3545,Remora,"(Bennett, 1840)",Whalesucker,pelagic-oceanic,NA,1,50,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remora brachyptera,3546,Remora,"(Lowe, 1839)",Spearfish remora,pelagic-oceanic,NA,NA,NA,NA,NA,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remora osteochir,3547,Remora,"(Cuvier, 1829)",Marlin sucker,pelagic-oceanic,NA,NA,200,NA,NA,40,NA,NA,42,N,45,s,180,w,180,e,NA,NA
Remora remora,1751,Remora,"(Linnaeus, 1758)",Shark sucker,reef-associated,NA,0,200,NA,NA,86.4000015258789,40,1070,60,N,36,S,180,W,180,E,NA,NA
Repomucenus calcaratus,14440,Repomucenus,"(Macleay, 1881)",Spotted stinkfish,demersal,NA,35,110,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Repomucenus huguenini,8286,Repomucenus,"(Bleeker, 1858)",Huguenin’s dragonet,demersal,NA,30,80,NA,NA,19,10,40.20000076293945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Repomucenus ornatipinnis,25830,Repomucenus,"(Regan, 1905)",Japanese ornate dragonet,demersal,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Repomucenus virgis,25836,Repomucenus,"(Jordan & Fowler, 1903)",Virgin dragonet,demersal,NA,40,100,NA,NA,8.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Retropinna retropinna,12243,Retropinna,"(Richardson, 1848)",Cucumberfish,demersal,Retropinninae,NA,NA,NA,NA,8.600000381469727,NA,NA,34,S,47,S,NA,NA,NA,NA,NA,NA
Retropinna tasmanica,7539,Retropinna,"McCulloch, 1920",Tasmanian smelt,demersal,Retropinninae,NA,NA,NA,NA,7,5.5,NA,41,S,44,S,NA,NA,NA,NA,NA,NA
Rexea antefurcata,8485,Rexea,"Parin, 1989",Long-finned escolar,benthopelagic,NA,230,920,NA,NA,72.5,NA,NA,13,S,40,S,143,E,83,W,NA,NA
Rexea bengalensis,8486,Rexea,"(Alcock, 1894)",Bengal escolar,benthopelagic,NA,143,820,NA,NA,22,NA,NA,34,N,27,S,40,E,155,E,NA,NA
Rexea nakamurai,8488,Rexea,"Parin, 1989",Nakamura's escolar,benthopelagic,NA,340,370,NA,NA,38,NA,NA,34,N,18,S,53,E,154,W,NA,NA
Rexea prometheoides,7697,Rexea,"(Bleeker, 1856)",Royal escolar,benthopelagic,NA,135,540,NA,NA,40,NA,NA,36,N,31,S,34,E,157,E,NA,NA
Rexea solandri,8490,Rexea,"(Cuvier, 1832)",Silver gemfish,benthopelagic,NA,100,800,300,450,110,NA,16000,25,S,48,S,109,E,173,W,NA,NA
Rhabdamia gracilis,5747,Rhabdamia,"(Bleeker, 1856)",Luminous cardinalfish,reef-associated,Apogoninae,3,91,NA,NA,7.400000095367432,NA,NA,32,N,12,S,NA,NA,NA,NA,NA,NA
Rhabdamia spilota,25033,Rhabdamia,"Allen & Kuiter, 1994",NA,reef-associated,Apogoninae,20,55,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdoblennius nitidus,13762,Rhabdoblennius,"(Günther, 1861)",Barred-chin blenny,reef-associated,Salariinae,0,2,NA,NA,8.300000190734863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdoblennius rhabdotrachelus,6056,Rhabdoblennius,"(Fowler & Ball, 1924)",Barchin blenny,reef-associated,Salariinae,NA,NA,NA,NA,4.099999904632568,NA,NA,21,N,25,S,NA,NA,NA,NA,NA,NA
Rhabdoblennius snowi,6057,Rhabdoblennius,"(Fowler, 1928)",Snow's rockskipper,reef-associated,Salariinae,0,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdosargus globiceps,449,Rhabdosargus,"(Valenciennes, 1830)",White stumpnose,benthopelagic,NA,NA,100,NA,NA,65,40,NA,13,S,36,S,NA,NA,NA,NA,NA,NA
Rhabdosargus haffara,8166,Rhabdosargus,"(Fabricius, 1775)",Haffara seabream,reef-associated,NA,10,NA,NA,NA,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdosargus holubi,5535,Rhabdosargus,"(Steindachner, 1881)",Cape stumpnose,demersal,NA,NA,NA,NA,NA,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdosargus niger,67654,Rhabdosargus,"Tanaka & Iwatsuki, 2013",NA,demersal,NA,NA,NA,NA,NA,28.899999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhabdosargus sarba,5368,Rhabdosargus,"(Forsskål, 1775)",Goldlined seabream,reef-associated,NA,0,60,NA,NA,80,45,12000,36,N,38,S,19,E,155,E,NA,NA
Rhacochilus toxotes,3639,Rhacochilus,"Agassiz, 1854",Rubberlip seaperch,demersal,NA,1,50,NA,NA,47,NA,NA,41,n,27,N,125,W,113,W,NA,NA
Rhadinesthes decimus,11710,Rhadinesthes,"(Zugmayer, 1911)",Slender snaggletooth,bathypelagic,Astronesthinae,0,4900,NA,NA,41,NA,NA,65,N,46,S,180,w,180,e,NA,NA
Rhamdia saijaensis,67943,Rhamdia,"Rendahl, 1941",NA,benthopelagic,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamphocottus richardsonii,4139,Rhamphocottus,"Günther, 1874",Grunt sculpin,demersal,NA,0,165,NA,NA,8.899999618530273,NA,NA,66,N,32,N,NA,NA,NA,NA,NA,NA
Rhencus macracanthus,13738,Rhencus,"(Günther, 1864)",Longspine grunt,benthopelagic,Haemulinae,1,30,NA,NA,37,20,NA,24,N,2,S,110,W,75,W,NA,NA
Rhencus panamensis,13740,Rhencus,"(Steindachner, 1876)",Panama grunt,demersal,Haemulinae,10,60,NA,NA,39,25,NA,32,N,10,S,117,W,76,W,NA,NA
Rhinecanthus aculeatus,5839,Rhinecanthus,"(Linnaeus, 1758)",White-banded triggerfish,reef-associated,NA,0,50,NA,NA,30,15,NA,30,N,30,S,NA,NA,NA,NA,NA,NA
Rhinecanthus assasi,25420,Rhinecanthus,"(Fabricius, 1775)",Picasso triggerfish,reef-associated,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinecanthus lunula,13774,Rhinecanthus,"Randall & Steene, 1983",Halfmoon picassofish,reef-associated,NA,10,30,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinecanthus rectangulus,5840,Rhinecanthus,"(Bloch & Schneider, 1801)",Wedge-tail triggerfish,reef-associated,NA,0,20,NA,NA,30,NA,NA,30,N,32,S,NA,NA,NA,NA,NA,NA
Rhinecanthus verrucosus,6028,Rhinecanthus,"(Linnaeus, 1758)",Blackbelly triggerfish,reef-associated,NA,1,20,NA,NA,23,19,NA,32,N,21,S,NA,NA,NA,NA,NA,NA
Rhinobatos annandalei,23163,Rhinobatos,"Norman, 1926",Annandale's guitarfish,demersal,NA,40,90,NA,NA,89,NA,2400,26,N,5,N,56,E,99,E,NA,NA
Rhinobatos borneensis,68221,Rhinobatos,"Last, Séret & Naylor, 2016",Borneo guitarfish,benthopelagic,NA,NA,NA,NA,NA,68.5999984741211,NA,NA,8,n,1,n,108,e,118,e,NA,NA
Rhinobatos formosensis,15396,Rhinobatos,"Norman, 1926",Taiwan guitarfish,demersal,NA,0,119,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinobatos hynnicephalus,10135,Rhinobatos,"Richardson, 1846",Angel fish,demersal,NA,NA,NA,NA,NA,53,NA,NA,37,N,17,N,107,E,137,E,NA,NA
Rhinobatos jimbaranensis,63601,Rhinobatos,"Last, White & Fahmi, 2006",Jimbaran shovelnose ray,benthopelagic,NA,NA,NA,NA,NA,89.19999694824219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinobatos lionotus,13147,Rhinobatos,"Norman, 1926",Smoothback guitarfish,demersal,NA,70,76,NA,NA,75,NA,NA,24,N,5,N,66,E,91,E,NA,NA
Rhinobatos penggali,63602,Rhinobatos,"Last, White & Fahmi, 2006",Indonesian shovelnose ray,benthopelagic,NA,NA,NA,NA,NA,86.4000015258789,NA,NA,8,S,10,S,105,E,116,E,NA,NA
Rhinobatos punctifer,25239,Rhinobatos,"Compagno & Randall, 1987",Spotted guitarfish,benthopelagic,NA,70,150,NA,NA,88.9000015258789,NA,NA,29,N,12,N,32,E,66,E,NA,NA
Rhinobatos rhinobatos,5016,Rhinobatos,"(Linnaeus, 1758)",Common guitarfish,demersal,NA,0,100,NA,NA,185,80,26550,44,N,17,S,19,W,36,E,NA,NA
Rhinobatos sainsburyi,63347,Rhinobatos,"Last, 2004",Goldeneye shovelnose,benthopelagic,NA,66,200,NA,150,59.5,NA,NA,5,S,21,S,114,E,135,E,NA,NA
Rhinobatos schlegelii,7969,Rhinobatos,"Müller & Henle, 1841",Brown guitarfish,demersal,NA,NA,200,NA,NA,100,NA,NA,42,N,21,N,117,E,143,E,NA,NA
Rhinochimaera africana,52796,Rhinochimaera,"Compagno, Stehmann & Ebert, 1990",Paddlenose chimaera,bathydemersal,NA,549,1450,NA,NA,81.80000305175781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinochimaera atlantica,9005,Rhinochimaera,"Holt & Byrne, 1909",Straightnose rabbitfish,bathydemersal,NA,200,1500,400,1500,140,NA,NA,67,N,58,S,98,w,26,E,NA,NA
Rhinochimaera pacifica,22766,Rhinochimaera,"(Mitsukuri, 1895)",Pacific spookfish,bathydemersal,NA,330,1490,NA,NA,159,NA,3205,46,N,50,S,NA,NA,NA,NA,NA,NA
Rhinogobiops nicholsii,3847,Rhinogobiops,"(Bean, 1882)",Blackeye goby,demersal,Gobiinae,0,106,NA,NA,15,NA,NA,55,N,27,n,136,w,114,w,NA,NA
Rhinogobius brunneus,23675,Rhinogobius,"(Temminck & Schlegel, 1845)",Amur goby,demersal,Gobionellinae,NA,NA,NA,NA,5.800000190734863,4.5,NA,54,N,7,N,106,E,145,E,16,20
Rhinogobius giurinus,15825,Rhinogobius,"(Rutter, 1897)",NA,demersal,Gobionellinae,NA,NA,NA,NA,12.100000381469727,7.5,14.899999618530273,45,N,22,N,NA,NA,NA,NA,NA,NA
Rhinogobius telma,69609,Rhinogobius,"Suzuki, Kimura & Shibukawa, 2019",NA,benthopelagic,Gobionellinae,NA,NA,NA,NA,3.7799999713897705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinogobius tyoni,69610,Rhinogobius,"Suzuki, Kimura & Shibukawa, 2019",NA,benthopelagic,Gobionellinae,NA,NA,NA,NA,3.740000009536743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinolepadichthys lineatus,23229,Rhinolepadichthys,"(Briggs, 1966)",Doubleline clingfish,reef-associated,Diademichthyinae,5,25,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinoliparis attenuatus,25257,Rhinoliparis,"Burke, 1912",Slim snailfish,bathydemersal,NA,350,2189,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinoliparis barbulifer,50721,Rhinoliparis,"Gilbert, 1896",Longnose snailfish,bathydemersal,NA,28,2189,NA,NA,8.800000190734863,NA,NA,66,N,32,N,NA,NA,NA,NA,NA,NA
Rhinomuraena quaesita,8594,Rhinomuraena,"Garman, 1888",Ribbon moray,reef-associated,Muraeninae,1,67,NA,NA,130,NA,NA,32,N,26,S,NA,NA,NA,NA,NA,NA
Rhinopias aphanes,12898,Rhinopias,"Eschmeyer, 1973",Lacy scorpionfish,reef-associated,Scorpaeninae,5,30,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinopias eschmeyeri,25845,Rhinopias,"Condé, 1977",Eschmeyer's scorpionfish,demersal,Scorpaeninae,18,55,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinopias frondosa,5823,Rhinopias,"(Günther, 1892)",Weedy scorpionfish,reef-associated,Scorpaeninae,10,297,NA,NA,23,NA,NA,32,N,6,N,30,e,155,e,NA,NA
Rhinoptera bonasus,2584,Rhinoptera,"(Mitchill, 1815)",Cownose ray,benthopelagic,NA,0,22,NA,NA,120,NA,953,46,N,42,S,98,W,33,W,NA,NA
Rhinoptera brasiliensis,14148,Rhinoptera,"Müller, 1836",Brazilian cownose ray,demersal,NA,0,20,NA,NA,104,90,NA,30,N,37,S,105,w,33,W,NA,NA
Rhinoptera javanica,7971,Rhinoptera,"Müller & Henle, 1841",Flapnose ray,reef-associated,NA,NA,NA,NA,NA,165,NA,4500,30,n,15,s,55,E,135,E,NA,NA
Rhinoptera jayakari,27176,Rhinoptera,"Boulenger, 1895",Oman cownose ray,benthopelagic,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinoptera marginata,8976,Rhinoptera,"(Geoffroy Saint-Hilaire, 1817)",Lusitanian cownose ray,benthopelagic,NA,NA,NA,NA,NA,200,NA,NA,38,N,15,N,18,W,36,E,NA,NA
Rhinoptera neglecta,15421,Rhinoptera,"Ogilby, 1912",Australian cownose ray,reef-associated,NA,NA,NA,NA,NA,86,NA,NA,18,S,33,S,NA,NA,NA,NA,NA,NA
Rhinoptera steindachneri,13271,Rhinoptera,"Evermann & Jenkins, 1891",Pacific cownose ray,reef-associated,NA,0,65,0,25,91.5999984741211,NA,NA,32,N,5,s,117,w,76,w,NA,NA
Rhinoraja kujiensis,22571,Rhinoraja,"(Tanaka, 1916)",Dapple-bellied softnose skate,bathydemersal,NA,100,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinoraja longicauda,22574,Rhinoraja,"Ishiyama, 1952",White-bellied softnose skate,bathydemersal,NA,300,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizoprionodon acutus,899,Rhizoprionodon,"(Rüppell, 1837)",Milk shark,benthopelagic,NA,1,200,NA,NA,175,110,5000,41,N,30,S,27,w,156,e,NA,NA
Rhodichthys regina,27747,Rhodichthys,"Collett, 1879",Threadfin seasnail,bathydemersal,NA,1080,2365,NA,NA,31,NA,NA,75,n,58,n,140,w,17,e,NA,NA
Rhodymenichthys dolichogaster,3801,Rhodymenichthys,"(Pallas, 1814)",Stippled gunnel,benthopelagic,Apodichthyinae,0,148,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhomboplites aurorubens,213,Rhomboplites,"(Cuvier, 1829)",Vermilion snapper,demersal,Lutjaninae,40,300,40,100,60,35,3170,42,N,33,S,99,W,30,W,NA,NA
Rhombosolea leporina,12949,Rhombosolea,"Günther, 1862",Yellowbelly flounder,demersal,NA,1,50,NA,NA,32,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhombosolea plebeia,12950,Rhombosolea,"(Richardson, 1843)",Sand flounder,demersal,NA,22,100,NA,NA,43,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhombosolea retiaria,12951,Rhombosolea,"Hutton, 1874",Black flounder,demersal,NA,NA,NA,NA,NA,25,NA,NA,34,S,47,S,NA,NA,NA,NA,NA,NA
Rhombosolea tapirina,8889,Rhombosolea,"Günther, 1862",Greenback flounder,demersal,NA,0,100,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhonciscus bayanus,6412,Rhonciscus,"(Jordan & Evermann, 1898)",Purplemouth grunt,benthopelagic,Haemulinae,NA,NA,NA,NA,51,33,1580,37,N,NA,NA,NA,NA,NA,NA,21,30
Rhonciscus branickii,13736,Rhonciscus,"(Steindachner, 1879)",Sand grunt,demersal,Haemulinae,NA,NA,NA,NA,30,25,NA,24,N,NA,NA,NA,NA,NA,NA,NA,NA
Rhonciscus crocro,1147,Rhonciscus,"(Cuvier, 1830)",Burro grunt,demersal,Haemulinae,0,120,NA,NA,38,25,1850,31,n,34,s,98,w,34,w,25,28
Rhyacichthys aspro,4435,Rhyacichthys,"(Valenciennes, 1837)",Loach goby,demersal,NA,NA,NA,NA,NA,25,NA,NA,24,N,13,S,NA,NA,NA,NA,NA,NA
Rhyacichthys guilberti,27291,Rhyacichthys,"Dingerkus & Séret, 1992",NA,demersal,NA,0,5,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhycherus filamentosus,14048,Rhycherus,"(Castelnau, 1872)",Tasselled anglerfish,reef-associated,NA,0,60,NA,NA,23,NA,NA,35,S,47,S,130,E,149,E,NA,NA
